,series,series_name
0,"<a href=""/title/tt1355642/"">Hagane no renkinjutsushi</a>","<a href=""/title/tt1355642/"">Hagane no renkinjutsushi</a>"
1,"<a href=""/title/tt2098220/"">Hunter x Hunter</a>","<a href=""/title/tt2098220/"">Hunter x Hunter</a>"
2,"<a href=""/title/tt1910272/"">Steins;Gate</a>","<a href=""/title/tt1910272/"">Steins;Gate</a>"
3,"<a href=""/title/tt1298820/"">Clannad: After Story</a>","<a href=""/title/tt1298820/"">Clannad: After Story</a>"
4,"<a href=""/title/tt0994314/"">Code Geass: Hangyaku no Lelouch</a>","<a href=""/title/tt0994314/"">Code Geass: Hangyaku no Lelouch</a>"
5,"<a href=""/title/tt0213338/"">Kaubôi bibappu: Cowboy Bebop</a>","<a href=""/title/tt0213338/"">Kaubôi bibappu: Cowboy Bebop</a>"
6,"<a href=""/title/tt0481256/"">Hajime no ippo</a>","<a href=""/title/tt0481256/"">Hajime no ippo</a>"
7,"<a href=""/title/tt0948103/"">Tengen toppa gurren lagann</a>","<a href=""/title/tt0948103/"">Tengen toppa gurren lagann</a>"
8,"<a href=""/title/tt0877057/"">Death Note: Desu nôto</a>","<a href=""/title/tt0877057/"">Death Note: Desu nôto</a>"
9,"<a href=""/title/tt0434706/"">Monster</a>","<a href=""/title/tt0434706/"">Monster</a>"
10,"<a href=""/title/tt0807832/"">Mushishi</a>","<a href=""/title/tt0807832/"">Mushishi</a>"
11,"<a href=""/title/tt0988818/"">Gintama</a>","<a href=""/title/tt0988818/"">Gintama</a>"
12,"<a href=""/title/tt0096633/"">Ginga Eiyuu Densetsu</a>","<a href=""/title/tt0096633/"">Ginga Eiyuu Densetsu</a>"
13,"<a href=""/title/tt0315008/"">GTO</a>","<a href=""/title/tt0315008/"">GTO</a>"
14,"<a href=""/title/tt2560140/"">Shingeki no Kyojin</a>","<a href=""/title/tt2560140/"">Shingeki no Kyojin</a>"
15,"<a href=""/title/tt1992744/"">Hajime no Ippo: New Challenger</a>","<a href=""/title/tt1992744/"">Hajime no Ippo: New Challenger</a>"
16,"<a href=""/title/tt1913273/"">Ano hi mita hana no namae o bokutachi wa mada shiranai.</a>","<a href=""/title/tt1913273/"">Ano hi mita hana no namae o bokutachi wa mada shiranai.</a>"
17,"<a href=""/title/tt0495212/"">Hellsing Ultimate</a>","<a href=""/title/tt0495212/"">Hellsing Ultimate</a>"
18,"<a href=""/title/tt1847445/"">Yojôhan shinwa taikei</a>","<a href=""/title/tt1847445/"">Yojôhan shinwa taikei</a>"
19,"<a href=""/title/tt0388629/"">One Piece: Wan pîsu</a>","<a href=""/title/tt0388629/"">One Piece: Wan pîsu</a>"
20,"<a href=""/title/tt1334722/"">Baccano!</a>","<a href=""/title/tt1334722/"">Baccano!</a>"
21,"<a href=""/title/tt2379308/"">Psycho-Pass</a>","<a href=""/title/tt2379308/"">Psycho-Pass</a>"
22,"<a href=""/title/tt0965547/"">Slam Dunk: Suramu danku</a>","<a href=""/title/tt0965547/"">Slam Dunk: Suramu danku</a>"
23,"<a href=""/title/tt2309320/"">Shin Sekai Yori</a>","<a href=""/title/tt2309320/"">Shin Sekai Yori</a>"
24,"<a href=""/title/tt1773185/"">Mahô shôjo Madoka magika: Puella Magi Madoka Magica</a>","<a href=""/title/tt1773185/"">Mahô shôjo Madoka magika: Puella Magi Madoka Magica</a>"
25,"<a href=""/title/tt2348803/"">Kuroko no basuke</a>","<a href=""/title/tt2348803/"">Kuroko no basuke</a>"
26,"<a href=""/title/tt3398540/"">Haikyuu!!</a>","<a href=""/title/tt3398540/"">Haikyuu!!</a>"
27,"<a href=""/title/tt2341375/"">Sakamichi no Apollon</a>","<a href=""/title/tt2341375/"">Sakamichi no Apollon</a>"
28,"<a href=""/title/tt1279024/"">Toradora!</a>","<a href=""/title/tt1279024/"">Toradora!</a>"
29,"<a href=""/title/tt0423731/"">Samurai chanpurû</a>","<a href=""/title/tt0423731/"">Samurai chanpurû</a>"
30,"<a href=""/title/tt0965546/"">Nodame kantâbire</a>","<a href=""/title/tt0965546/"">Nodame kantâbire</a>"
31,"<a href=""/title/tt2098308/"">Nichijou</a>","<a href=""/title/tt2098308/"">Nichijou</a>"
32,"<a href=""/title/tt0185133/"">Yu yu hakusho</a>","<a href=""/title/tt0185133/"">Yu yu hakusho</a>"
33,"<a href=""/title/tt1411815/"">One Outs</a>","<a href=""/title/tt1411815/"">One Outs</a>"
34,"<a href=""/title/tt0346314/"">Kôkaku kidôtai: Stand Alone Complex</a>","<a href=""/title/tt0346314/"">Kôkaku kidôtai: Stand Alone Complex</a>"
35,"<a href=""/title/tt1992935/"">Mononoke</a>","<a href=""/title/tt1992935/"">Mononoke</a>"
36,"<a href=""/title/tt0426719/"">Hunter x Hunter</a>","<a href=""/title/tt0426719/"">Hunter x Hunter</a>"
37,"<a href=""/title/tt1584000/"">Durarara!!</a>","<a href=""/title/tt1584000/"">Durarara!!</a>"
38,"<a href=""/title/tt0182629/"">Rurôni Kenshin - Meiji kenkaku romantan</a>","<a href=""/title/tt0182629/"">Rurôni Kenshin - Meiji kenkaku romantan</a>"
39,"<a href=""/title/tt0434662/"">Beck: Mongolian Chop Squad</a>","<a href=""/title/tt0434662/"">Beck: Mongolian Chop Squad</a>"
40,"<a href=""/title/tt0857297/"">N.H.K ni yôkoso!</a>","<a href=""/title/tt0857297/"">N.H.K ni yôkoso!</a>"
41,"<a href=""/title/tt1352421/"">Natsume yûjinchô</a>","<a href=""/title/tt1352421/"">Natsume yûjinchô</a>"
